0, 1, 2, 3, 4, 5, 6, 7, 8
16, -12, 1, 3, 2, 999, -1277, -1, 1
13, -1, 0, 2, 4, 999, -1277, -1, 2
12, -9, 0, 1, 5, 999, -1276, 0, 3
1, -1, 1, 0, 10, 999, -1275, 0, 6
11, 0, 1, 0, 16, 999, -1274, 0, 9
11, -9, -2, 1, 26, 999, -1273, 0, 15
21, 12, 0, 1, 35, 999, -1273, 0, 20
9, -21, 0, 0, 45, 998, -1273, 0, 25
6, -29, 2, 0, 51, 998, -1272, 0, 29
10, -12, 0, 1, 52, 998, -1272, 0, 30
6, -16, -2, 1, 45, 998, -1272, 0, 26
12, -2, 0, 1, 39, 999, -1273, 0, 22
10, 0, -2, 1, 38, 999, -1273, 0, 22
11, -9, 1, 1, 41, 999, -1274, -1, 23
10, -18, -1, 1, 44, 998, -1273, -1, 25
11, -10, 0, 1, 46, 998, -1272, 0, 26
11, -8, 0, 1, 47, 998, -1272, 0, 26
9, 0, 0, 0, 44, 999, -1271, 0, 25
9, -6, -1, 0, 38, 999, -1270, 0, 21
0, -17, -3, 0, 29, 999, -1270, 0, 16
7, 10, -7, -1, 21, 999, -1269, 1, 12
7, -12, -5, -3, 6, 999, -1268, 2, 3
10, 42, -36, -5, -57, 998, -1267, 3, -32
37, 118, 49, 4, -118, 992, -1269, -2, -67
106, 86, 59, 2, -289, 957, -1269, -1, -168
115, 326, 152, 1, -456, 889, -1274, -1, -271
4, 54, 50, 4, -568, 822, -1279, -2, -346
-40, 61, 43, 10, -666, 745, -1283, -6, -417
11, 52, 70, 14, -761, 648, -1290, -8, -495
14, 797, -121, 10, -834, 551, -1288, -5, -565
-11, 25, 130, -11, -921, 388, -1279, 6, -671
6, 35, 189, -13, -967, 253, -1275, 7, -752
-5, 0, 139, -15, -987, 155, -1271, 9, -810
-5, 0, 79, -17, -993, 112, -1270, 9, -835
-14, 120, 158, -19, -997, 61, -1269, 11, -864
-10, -3, 107, -21, -998, 49, -1268, 12, -871
-9, -22, 69, -22, -998, 48, -1268, 12, -872
-8, -17, 102, -23, -999, 31, -1267, 13, -882
-84, 3, 102, -22, -999, 17, -1267, 13, -889
19, -1, 53, -14, -999, 0, -1268, 8, -900
14, -27, 117, -4, -999, -2, -1268, 2, -901
10, -18, 80, -5, -999, 2, -1268, 3, -898
5, -7, 85, -7, -999, 2, -1268, 4, -898
3, -13, 85, -8, -999, 0, -1267, 5, -899
-6, 0, 67, -9, -999, -2, -1267, 5, -901
6, -29, 109, -11, -999, 0, -1268, 6, -899
-1, -11, 57, -13, -999, -4, -1268, 7, -902
6, -53, 65, -15, -999, 8, -1269, 8, -895
-2, -7, 31, -16, -999, 25, -1270, 9, -885
-1, -32, 30, -19, -998, 42, -1271, 10, -875
0, -9, 48, -21, -998, 51, -1272, 12, -870
0, -40, 31, -23, -998, 47, -1272, 13, -872
5, 0, 50, -24, -999, 36, -1271, 14, -878
-7, -15, 50, -29, -999, 10, -1272, 16, -894
-5, -4, 43, -29, -999, 3, -1272, 17, -897
-10, -12, 31, -28, -999, 5, -1272, 16, -897
-11, -5, 30, -27, -999, 6, -1271, 15, -896
-14, -5, 27, -27, -999, 3, -1270, 15, -898
-9, -9, 23, -25, -999, -6, -1270, 14, -903
-8, -13, 22, -25, -999, -10, -1269, 14, -905
-12, -10, 27, -26, -999, -19, -1269, 15, -911
-10, -4, 30, -26, -999, -28, -1268, 15, -916
-10, -22, 19, -27, -999, -34, -1268, 15, -919
-18, 5, 35, -29, -998, -41, -1268, 16, -923
-12, -6, 27, -31, -998, -46, -1267, 18, -926
-5, -15, 20, -29, -998, -48, -1267, 16, -927
-10, -13, 11, -29, -998, -40, -1266, 16, -923
-10, -5, 8, -29, -998, -33, -1266, 16, -919
-13, 0, 13, -29, -999, -26, -1265, 17, -915
-10, -21, 0, -30, -999, -23, -1265, 17, -913
-13, -13, 8, -30, -999, -26, -1264, 17, -914
-17, -8, 7, -30, -999, -31, -1264, 17, -918
-15, 0, 8, -30, -998, -38, -1263, 17, -922
-11, -8, 7, -32, -998, -48, -1263, 18, -927
-9, 0, -15, -34, -998, -44, -1262, 19, -925
-12, -6, -2, -34, -998, -34, -1262, 19, -919
-14, -13, -6, -34, -999, -25, -1261, 19, -914
-18, -31, -15, -33, -999, -16, -1261, 19, -909
-18, 4, -22, -32, -999, -12, -1260, 18, -906
-12, -8, -5, -32, -999, -12, -1259, 18, -907
-2, 8, 0, -32, -999, -16, -1259, 18, -909
-15, -1, 12, -33, -999, -17, -1258, 19, -909
-14, -9, -10, -34, -999, -17, -1258, 19, -910
-7, -31, -1, -35, -999, -19, -1257, 20, -911
-13, -4, -3, -35, -999, -21, -1257, 20, -912
-12, -9, -3, -34, -999, -22, -1256, 19, -912
-6, -39, -3, -34, -999, -23, -1256, 19, -913
-13, -9, -9, -32, -999, -24, -1255, 18, -914
-12, -15, -8, -30, -999, -26, -1254, 17, -915
-14, -18, -10, -29, -999, -32, -1254, 16, -918
-13, -8, -2, -28, -998, -44, -1254, 16, -925
-12, -6, 3, -26, -998, -55, -1253, 15, -931
-12, -9, 2, -25, -997, -70, -1253, 14, -940
-14, -15, 2, -25, -996, -73, -1252, 14, -942
-13, -6, 2, -24, -996, -74, -1252, 14, -942
-12, -10, -1, -24, -996, -74, -1252, 13, -942
-12, -14, -4, -23, -996, -74, -1251, 13, -942
-14, -11, -1, -22, -996, -75, -1251, 12, -943
-13, -9, 0, -20, -996, -78, -1250, 11, -945
-9, -10, 7, -19, -996, -75, -1250, 11, -943
-9, -13, 0, -18, -996, -76, -1250, 10, -943
-9, -10, 0, -18, -996, -76, -1249, 10, -943
-11, -7, 0, -17, -996, -76, -1249, 10, -943
-10, -9, 0, -17, -996, -76, -1249, 9, -943
-10, -10, -2, -16, -997, -74, -1248, 9, -942
-10, -16, -7, -16, -997, -72, -1248, 9, -941
-7, -10, -6, -16, -997, -72, -1247, 9, -941
-9, -15, -4, -16, -997, -75, -1247, 9, -943
-9, -11, 2, -16, -996, -78, -1246, 9, -945
-10, -10, 4, -16, -996, -80, -1246, 9, -945
-9, -11, -1, -16, -996, -80, -1246, 9, -946
-10, -9, -5, -15, -996, -80, -1245, 9, -946
-7, -10, 1, -15, -996, -80, -1245, 8, -946
-9, -8, -4, -15, -996, -82, -1244, 8, -947
-9, -7, 0, -15, -996, -83, -1244, 8, -948
-9, -12, -2, -15, -996, -84, -1243, 8, -948
-9, -11, -3, -15, -996, -82, -1243, 8, -947
-9, -13, -5, -15, -996, -81, -1243, 8, -946
-7, -10, -7, -14, -996, -79, -1242, 8, -945
-9, -11, -4, -14, -996, -77, -1242, 8, -944
-8, -10, -11, -14, -997, -73, -1241, 8, -942
-5, -9, -6, -14, -997, -71, -1241, 8, -940
-8, -9, -4, -13, -997, -69, -1240, 8, -939
-8, -14, -8, -13, -997, -68, -1240, 7, -939
-8, -9, 0, -13, -997, -65, -1239, 7, -937
-7, -7, -7, -13, -998, -58, -1239, 7, -933
-5, -23, -34, -12, -998, -49, -1238, 6, -928
0, 104, 75, -13, -999, -10, -1237, 7, -905
-149, 21, -67, -14, -997, 65, -1236, 8, -862
-39, 7, -45, -15, -988, 148, -1233, 8, -814
0, -42, -30, -15, -955, 293, -1230, 8, -729
41, -78, -114, -17, -883, 467, -1222, 9, -621
-2, -85, -105, -17, -794, 606, -1219, 10, -526
-5, -100, -79, -21, -754, 656, -1216, 12, -489
-20, -74, -87, -25, -732, 680, -1215, 14, -470
-13, -72, -88, -24, -689, 723, -1215, 14, -436
